year,Total_Births,Total_Stunted,Total_Stunted_low,Total_Stunted_high,Total_Stunted_constant_rates,Total_Stunted_low_constant_rates,Total_Stunted_high_constant_rates,Total_Stunted_current_progress_rates,Total_Stunted_2x_current_progress_rates
2000,134014.03399999996,45300.80900599996,42715.792542999996,48093.513251,45300.80900599996,42715.792542999996,48093.513251,45567.10945990763,45300.80900599996
2001,133877.73799999992,44830.58525300002,42362.41802500001,47461.126566999985,44830.58525300002,42362.41802500001,47461.126566999985,45038.438166084095,44830.58525300002
2002,134020.44500000004,44334.90577799998,41961.184187999985,46854.613118999965,44334.90577799998,41961.184187999985,46854.613118999965,44346.7772522724,44334.90577799998
2003,134302.044,43816.92868,41519.87646499999,46267.43562699997,43816.92868,41519.87646499999,46267.43562699997,43609.90583403452,43816.92868
2004,135228.1460000001,43421.589514999985,41115.949528000005,45873.335138,43421.589514999985,41115.949528000005,45873.335138,42965.122203023,43421.589514999985
2005,135800.24200000006,42933.325176999984,40615.88433,45392.55990699997,42933.325176999984,40615.88433,45392.55990699997,42200.78721849626,42933.325176999984
2006,136909.89699999994,42531.42884500001,40190.612966,45034.25392500005,42531.42884500001,40190.612966,45034.25392500005,41544.74893788234,42531.42884500001
2007,138562.81100000005,42194.92171500002,39825.80070199999,44726.253423000024,42194.92171500002,39825.80070199999,44726.253423000024,41089.610579276705,42194.92171500002
2008,140164.4,41689.27229200004,39317.83597799999,44187.866118,41689.27229200004,39317.83597799999,44187.866118,40574.54239429004,41689.27229200004
2009,141200.88199999998,41027.311625999995,38730.42822199997,43429.92135199999,41027.311625999995,38730.42822199997,43429.92135199999,40055.20296163881,41027.311625999995
2010,141633.32499999998,40086.356929000016,37926.81192800004,42395.332878,40086.356929000016,37926.81192800004,42395.332878,39418.521990073365,40086.356929000016
2011,142134.93200000003,39150.57630500002,37098.67754399998,41359.697547,39150.57630500002,37098.67754399998,41359.697547,38799.624563440084,39150.57630500002
2012,144194.05199999997,38386.57780599999,36428.16516900002,40482.43900000004,38386.57780599999,36428.16516900002,40482.43900000004,38263.21367026938,38386.57780599999
2013,143421.58499999988,37433.27417099998,35545.703313,39469.43627199997,37433.27417099998,35545.703313,39469.43627199997,37486.082236897775,37433.27417099998
