year,Total_Births,Total_Stunted,Total_Stunted_low,Total_Stunted_high,Total_Stunted_constant_rates,Total_Stunted_low_constant_rates,Total_Stunted_high_constant_rates,Total_Stunted_current_progress_rates,Total_Stunted_2x_current_progress_rates,Total_anaemic,Total_anaemic_low,Total_anaemic_high,Total_anaemic_constant_rates,Total_anaemic_low_constant_rates,Total_anaemic_high_constant_rates,Total_anaemic_current_progress_rates,Total_anaemic_2x_current_progress_rates,Cumulative_Stunted_constant_rates,Cumulative_Stunted_current_progress,Cumulative_Stunted_2x_current_progress,Cumulative_Anaemic_constant_rates,Cumulative_Anaemic_current_progress,Cumulative_Anaemic_2x_current_progress
2000,134014.03399999996,45300.80900599996,42715.792543,48093.513251,45300.80900599996,42715.792543,48093.513251,45300.80900599996,45300.80900599996,54796.87391200002,43695.10745200003,65582.92017499999,54796.87391200002,43695.10745200003,65582.92017499999,54796.87391200002,54796.87391200002,45300.80900599996,45300.80900599996,45300.80900599996,54796.87391200002,54796.87391200002,54796.87391200002
2001,133877.73799999992,44830.58525300002,42362.41802500001,47461.126566999985,44830.58525300002,42362.41802500001,47461.126566999985,44830.58525300002,44830.58525300002,54524.69800700001,43877.85750200006,64907.96516400004,54524.69800700001,43877.85750200006,64907.96516400004,54524.69800700002,54524.69800700001,90131.39425899998,90131.39425899998,90131.39425899998,109321.57191900004,109321.57191900004,109321.57191900004
2002,134020.44500000004,44334.90577799998,41961.184187999985,46854.613118999965,44334.90577799998,41961.184187999985,46854.613118999965,44334.90577799998,44334.90577799998,54299.03592100001,43921.964845,64426.998315,54299.03592100001,43921.964845,64426.998315,54299.035921,54299.03592100001,134466.30003699995,134466.30003699995,134466.30003699995,163620.60784000004,163620.60784000004,163620.60784000004
2003,134302.044,43816.92868,41519.87646499999,46267.43562699997,43816.92868,41519.87646499999,46267.43562699997,43816.92868,43816.92868,54084.361896,43847.48965400001,64010.691029000016,54084.361896,43847.48965400001,64010.691029000016,54084.361896,54084.361896,178283.22871699993,178283.22871699993,178283.22871699993,217704.96973600006,217704.96973600006,217704.96973600006
2004,135228.1460000001,43421.589514999985,41115.949528000005,45873.335138,43421.589514999985,41115.949528000005,45873.335138,43421.589514999985,43421.589514999985,54006.658502999984,43782.42584199998,63936.52846700002,54006.658502999984,43782.42584199998,63936.52846700002,54006.658502999984,54006.658502999984,221704.81823199993,221704.81823199993,221704.81823199993,271711.62823900004,271711.62823900004,271711.62823900004
2005,135800.24200000006,42933.325176999984,40615.88433,45392.55990699997,42933.325176999984,40615.88433,45392.55990699997,42933.325176999984,42933.325176999984,53719.236616999995,43580.61508899997,63659.021766000005,53719.236616999995,43580.61508899997,63659.021766000005,53719.236616999995,53719.236616999995,264638.1434089999,264638.1434089999,264638.1434089999,325430.86485600006,325430.86485600006,325430.86485600006
2006,136909.89699999994,42531.42884500001,40190.612966,45034.25392500005,42531.42884500001,40190.612966,45034.25392500005,42531.42884500001,42531.42884500001,53572.931529999994,43325.31871600001,63606.297532,53572.931529999994,43325.31871600001,63606.297532,53572.931529999994,53572.931529999994,307169.5722539999,307169.5722539999,307169.5722539999,379003.79638600006,379003.79638600006,379003.79638600006
2007,138562.81100000005,42194.92171500002,39825.80070199999,44726.253423000024,42194.92171500002,39825.80070199999,44726.253423000024,42194.92171500002,42194.92171500002,53618.073815,43278.97363699997,63770.00779100002,53618.073815,43278.97363699997,63770.00779100002,53618.073815,53618.073815,349364.4939689999,349364.4939689999,349364.4939689999,432621.87020100007,432621.87020100007,432621.87020100007
2008,140164.4,41689.27229200004,39317.83597799999,44187.866118,41689.27229200004,39317.83597799999,44187.866118,41689.27229200004,41689.27229200004,53611.001646999975,43221.792570000005,63977.05521199999,53611.001646999975,43221.792570000005,63977.05521199999,53611.001646999975,53611.001646999975,391053.76626099995,391053.76626099995,391053.76626099995,486232.87184800004,486232.87184800004,486232.87184800004
2009,141200.88199999998,41027.311625999995,38730.42822199997,43429.92135199999,41027.311625999995,38730.42822199997,43429.92135199999,41027.31162599999,41027.311625999995,53495.733706000014,43018.00388600003,63956.02500699999,53495.733706000014,43018.00388600003,63956.02500699999,53495.733706000014,53495.733706000014,432081.07788699993,432081.07788699993,432081.07788699993,539728.605554,539728.605554,539728.605554
2010,141633.32499999998,40086.356929000016,37926.81192800004,42395.332878,40086.356929000016,37926.81192800004,42395.332878,40086.35692900001,40086.356929000016,53224.265098,42767.344168999974,63775.880826,53224.265098,42767.344168999974,63775.880826,53224.265098,53224.265098,472167.43481599994,472167.43481599994,472167.43481599994,592952.870652,592952.870652,592952.870652
2011,142134.93200000003,39150.57630500002,37098.67754399998,41359.697547,39150.57630500002,37098.67754399998,41359.697547,39150.57630500002,39150.57630500002,53078.260317999986,42593.439227999974,63712.49854599999,53078.260317999986,42593.439227999974,63712.49854599999,53078.260317999986,53078.260317999986,511318.01112099993,511318.01112099993,511318.01112099993,646031.1309699999,646031.1309699999,646031.1309699999
2012,144194.05199999997,38386.57780599999,36428.16516900002,40482.43900000004,38386.57780599999,36428.16516900002,40482.43900000004,38386.57780599999,38386.57780599999,53230.11038300003,42651.073165999995,64163.97378699997,53230.11038300003,42651.073165999995,64163.97378699997,53230.11038300003,53230.11038300003,549704.588927,549704.588927,549704.588927,699261.2413529999,699261.2413529999,699261.2413529999
2013,143421.58499999988,37433.27417099998,35545.703313,39469.43627199997,37433.27417099998,35545.703313,39469.43627199997,37433.27417099998,37433.27417099998,52873.593956999975,42229.118056,63883.29817400002,52873.593956999975,42229.118056,63883.29817400002,52873.593956999975,52873.593956999975,587137.863098,587137.863098,587137.863098,752134.8353099999,752134.8353099999,752134.8353099999
2014,143670.86400000003,36461.826478,34602.78214399998,38464.010047,36461.826478,34602.78214399998,38464.010047,36461.826478,36461.826478,52532.952787,41711.889114000005,63792.38403499997,52532.952787,41711.889114000005,63792.38403499997,52532.952787,52532.952787,623599.689576,623599.689576,623599.689576,804667.7880969999,804667.7880969999,804667.7880969999
2015,142608.07700000005,35786.150008,33856.82158200001,37845.74016799999,35786.150008,33856.82158200001,37845.74016799999,35786.150008,35786.150008,52211.84349099998,41239.404080000015,63730.054059,52211.84349099998,41239.404080000015,63730.054059,52211.843490999985,52211.84349099998,659385.839584,659385.839584,659385.839584,856879.6315879999,856879.6315879999,856879.6315879999
2016,143238.8830000001,35232.56681300002,33225.897739,37426.49575400002,35232.56681300002,33225.897739,37426.49575400002,35232.56681300002,35232.56681300002,52289.44641200003,40897.56554400001,64214.409707,52289.44641200003,40897.56554400001,64214.409707,52289.44641200003,52289.44641200003,694618.406397,694618.406397,694618.406397,909169.0779999999,909169.0779999999,909169.0779999999
