iso3c,year,estimate,country,Births,PopChange,TPopulation1July,TPopulationFemale1July,TPopulationMale1July,NetMigrations,Deaths,InfantDeaths,Under5Deaths,stunting_estimate_who,stunting_estimate_who_low,stunting_estimate_who_high,anaemia_estimate_who,anaemia_estimate_who_low,anaemia_estimate_who_high
MKD,2019,81.8,North Macedonia,20.447,-0.304,2114.176,1059.539,1054.637,-0.987,19.763,0.102,0.153,4.1,3.5,4.6,25.7,9.6,44.9
MLI,2015,61.6,Mali,804.446,570.251,18112.907,8963.346,9149.561,-48.947,185.256,52.669,85.142,28.6,27.8,29.3,59.2,56.9,61.2
MNE,2018,90.2,Montenegro,7.529,-1.105,631.455,323.515,307.94,-2.024,6.618,0.015,0.021,8.2,7.2,9.4,20.5,6.6,41
MNG,2018,75.7,Mongolia,75.256,68.81,3163.991,1591.658,1572.333,11.426,17.878,1.07,1.278,7.9,7.2,8.6,24.8,15,36.5
MRT,2015,60,Mauritania,138.903,104.383,3946.22,2019.734,1926.486,-3.018,31.503,7.342,10.127,25.1,24.2,26,50.5,37.9,58.5
MWI,2020,58.57,Malawi,644.116,512.359,19377.061,9958.304,9418.758,-1.775,129.975,18.451,25.14,35.3,34.2,36.4,NA,NA,NA
NGA,2021,47.71,Nigeria,7923.294,5054.217,213401.323,105574.31,107827.012,-76.364,2792.704,576.683,865.377,34.5,32.9,36.2,NA,NA,NA
NPL,2019,65.2,Nepal,602.436,333.463,28832.496,15128.288,13704.208,-70.597,198.367,14.782,17.73,30.4,29.1,31.7,42.5,31.4,50.3
OMN,2014,68.3,Oman,84.83,151.881,4009.268,1417.894,2591.374,75.961,8.914,0.804,0.936,11.4,10.7,12.3,31.1,21.6,40.6
PAN,2013,80.2,Panama,79.271,66.73,3821.556,1906.929,1914.627,5.926,18.462,1.25,1.601,19.2,17.7,20.8,23.4,12.8,36.1
PRK,2017,87.7,Democratic People's Republic of Korea,344.85,124.659,25516.321,12956.39,12559.931,-3.222,216.964,5.256,6.523,20.5,18.7,22.5,38.5,25.5,49
PRY,2016,81.9,Paraguay,139.71,89.101,6266.616,3116.116,3150.5,-16.734,33.876,2.525,3.001,6.2,5.6,6.9,25.6,10.2,45.5
PSE,2020,83.9,"occupied Palestinian territory, including east Jerusalem",144.74,114.833,5019.402,2516.78,2502.621,-12.369,17.535,2.039,2.37,7.6,6.8,8.4,NA,NA,NA
QAT,2012,83.9,Qatar,20.938,102.22,1905.66,490.463,1415.197,83.444,2.155,0.157,0.187,6.2,3.2,11.5,26.9,11.2,44.9
RWA,2015,70.9,Rwanda,370.93,278.104,11642.959,5979.182,5663.777,-14.477,78.346,12.862,17.119,36.7,35.8,37.7,23.1,17.7,28.9
SEN,2019,66.9,Senegal,535.968,429.371,16000.781,8140.164,7860.618,-19.973,86.623,13.983,21.011,18,17.3,18.8,56.1,53,58.9
SLE,2017,51.4,Sierra Leone,257.718,183.097,7677.566,3833.302,3844.264,1.234,75.858,21.094,29.748,30.5,29.4,31.7,54.4,50.7,57.2
SLV,2021,82.6,El Salvador,101.405,19.255,6314.167,3307.476,3006.692,-27.343,54.803,1.081,1.288,10.3,8,13.2,NA,NA,NA
SRB,2019,97.2,Serbia,69.672,-33.985,7401.056,3852.092,3548.963,0.489,104.149,0.311,0.403,5.1,4.5,5.8,25.1,9,45.3
STP,2019,62.9,Sao Tome and Principe,6.23,3.246,214.599,107.476,107.123,-1.718,1.266,0.083,0.1,12,10.8,13.3,50.8,42,56.1
