"UN Region","Year","Prevalence of anaemia in pregnant women (aged 15-49) (%)","Number of pregnant women (aged 15-49 years) with anaemia (thousands)"
"Africa (2)"," 2012","45 [43.4-46.8]","11275 [10841-11690]"
"Africa (2)"," 2011","45 [43.7-47.1]","11151 [10721-11559]"
"Africa (2)"," 2010","46 [44-47.4]","11032 [10606-11434]"
"Africa (2)"," 2009","46 [44.4-47.8]","10913 [10501-11312]"
"Africa (2)"," 2008","47 [44.9-48.3]","10794 [10398-11187]"
"Africa (2)"," 2007","47 [45.3-48.7]","10674 [10291-11055]"
"Africa (2)"," 2006","47 [45.7-49]","10541 [10164-10916]"
"Africa (2)"," 2005","48 [45.9-49.3]","10401 [10016-10766]"
"Africa (2)"," 2004","48 [46.2-49.7]","10257 [9879-10630]"
"Africa (2)"," 2003","48 [46.4-50]","10103 [9720-10477]"
"Africa (2)"," 2002","48 [46.4-50.2]","9939 [9551-10321]"
"Africa (2)"," 2001","49 [46.5-50.4]","9779 [9378-10168]"
"Africa (2)"," 2000","49 [46.5-50.6]","9619 [9199-10021]"
"Africa (2)"," 1999","49 [46.3-50.9]","9467 [9014-9897]"
"Africa (2)"," 1998","49 [46.3-51.2]","9326 [8845-9774]"
"Africa (2)"," 1997","49 [46.2-51.6]","9190 [8667-9681]"
"Africa (2)"," 1996","49 [46-52]","9054 [8485-9586]"
"Africa (2)"," 1995","49 [45.8-52.4]","8917 [8301-9498]"
"Northern Africa"," 2019","30.7 [21.8-39.4]","1142 [810-1467]"
"Northern Africa"," 2018","30.8 [22.6-38.9]","1149 [843-1451]"
"Northern Africa"," 2017","30.9 [23.3-38.4]","1157 [872-1438]"
"Northern Africa"," 2016","31.1 [23.8-38.2]","1163 [891-1429]"
"Northern Africa"," 2015","31.3 [24.5-38.3]","1168 [915-1429]"
"Northern Africa"," 2014","31.7 [25.1-38.5]","1171 [929-1423]"
"Northern Africa"," 2013","31.9 [25.4-38.4]","1164 [927-1400]"
"Northern Africa"," 2012","32.0 [25.6-38.4]","1143 [915-1375]"
"Northern Africa"," 2011","32.2 [26.0-38.5]","1123 [906-1344]"
"Northern Africa"," 2010","32.5 [26.2-38.7]","1104 [889-1312]"
"Northern Africa"," 2009","32.9 [26.5-39.0]","1083 [873-1281]"
"Northern Africa"," 2008","33.4 [26.9-39.5]","1064 [857-1258]"
"Northern Africa"," 2007","33.8 [27.1-39.8]","1043 [839-1229]"
"Northern Africa"," 2006","34.0 [27.4-40.1]","1023 [824-1206]"
"Northern Africa"," 2005","34.3 [27.8-40.2]","1007 [816-1182]"
"Northern Africa"," 2004","34.5 [28.1-40.4]","995 [809-1165]"
"Northern Africa"," 2003","34.7 [28.4-40.5]","987 [806-1151]"
"Northern Africa"," 2002","34.9 [28.7-40.8]","980 [806-1146]"
"Northern Africa"," 2001","35.0 [28.9-40.9]","975 [806-1141]"
"Northern Africa"," 2000","35.2 [29.0-41.3]","978 [804-1146]"
"Sub-Saharan Africa"," 2019","46.2 [43.6-48.7]","10868 [10246-11454]"
"Sub-Saharan Africa"," 2018","46.3 [44.1-48.5]","10757 [10231-11255]"
"Sub-Saharan Africa"," 2017","46.5 [44.4-48.4]","10652 [10181-11091]"
"Sub-Saharan Africa"," 2016","46.7 [44.8-48.5]","10552 [10125-10953]"
"Sub-Saharan Africa"," 2015","46.8 [45.1-48.5]","10454 [10061-10830]"
"Sub-Saharan Africa"," 2014","47.0 [45.2-48.7]","10345 [9962-10712]"
"Sub-Saharan Africa"," 2013","47.2 [45.4-48.8]","10237 [9863-10589]"
"Sub-Saharan Africa"," 2012","47.4 [45.6-49.0]","10132 [9763-10478]"
"Sub-Saharan Africa"," 2011","47.6 [45.9-49.2]","10028 [9660-10368]"
"Sub-Saharan Africa"," 2010","47.9 [46.2-49.6]","9929 [9569-10273]"
"Sub-Saharan Africa"," 2009","48.3 [46.6-49.9]","9830 [9481-10168]"
"Sub-Saharan Africa"," 2008","48.7 [46.9-50.3]","9730 [9381-10061]"
"Sub-Saharan Africa"," 2007","49.1 [47.3-50.7]","9631 [9287-9961]"
"Sub-Saharan Africa"," 2006","49.4 [47.6-51.1]","9518 [9172-9840]"
"Sub-Saharan Africa"," 2005","49.8 [47.9-51.5]","9393 [9049-9714]"
"Sub-Saharan Africa"," 2004","50.0 [48.2-51.8]","9261 [8912-9591]"
"Sub-Saharan Africa"," 2003","50.3 [48.4-52.1]","9116 [8768-9447]"
"Sub-Saharan Africa"," 2002","50.5 [48.4-52.3]","8960 [8601-9292]"
"Sub-Saharan Africa"," 2001","50.6 [48.5-52.6]","8804 [8435-9142]"
"Sub-Saharan Africa"," 2000","50.8 [48.5-52.8]","8642 [8265-8995]"
"Eastern Africa"," 2019","38.5 [33.6-43.5]","3533 [3079-3988]"
"Eastern Africa"," 2018","38.5 [34.1-42.9]","3486 [3090-3882]"
"Eastern Africa"," 2017","38.5 [34.7-42.3]","3443 [3101-3786]"
"Eastern Africa"," 2016","38.5 [35.1-41.9]","3404 [3101-3704]"
"Eastern Africa"," 2015","38.6 [35.4-41.7]","3367 [3089-3643]"
"Eastern Africa"," 2014","38.6 [35.5-41.6]","3328 [3066-3585]"
"Eastern Africa"," 2013","38.7 [35.7-41.6]","3295 [3041-3546]"
"Eastern Africa"," 2012","38.8 [35.9-41.7]","3269 [3020-3513]"
"Eastern Africa"," 2011","39.1 [36.1-42.0]","3248 [3000-3489]"
"Eastern Africa"," 2010","39.4 [36.5-42.3]","3236 [2997-3473]"
"Eastern Africa"," 2009","39.9 [37.0-42.8]","3232 [2992-3462]"
"Eastern Africa"," 2008","40.5 [37.5-43.3]","3231 [2995-3456]"
"Eastern Africa"," 2007","41.1 [38.2-44.1]","3231 [3001-3462]"
"Eastern Africa"," 2006","41.7 [38.7-44.7]","3224 [2994-3454]"
"Eastern Africa"," 2005","42.2 [39.1-45.2]","3209 [2975-3437]"
"Eastern Africa"," 2004","42.6 [39.4-45.7]","3188 [2947-3418]"
"Eastern Africa"," 2003","43.0 [39.8-46.2]","3159 [2921-3397]"
"Eastern Africa"," 2002","43.3 [39.9-46.7]","3125 [2879-3366]"
"Eastern Africa"," 2001","43.6 [40.1-47.2]","3091 [2841-3343]"
"Eastern Africa"," 2000","43.9 [40.0-47.7]","3052 [2783-3314]"
"Middle Africa"," 2019","46.7 [40.0-51.6]","2019 [1727-2229]"
"Middle Africa"," 2018","47.2 [41.4-51.6]","2006 [1758-2192]"
"Middle Africa"," 2017","47.7 [42.7-51.7]","1994 [1782-2162]"
"Middle Africa"," 2016","48.3 [43.5-51.9]","1982 [1788-2131]"
"Middle Africa"," 2015","48.8 [44.4-52.2]","1969 [1794-2106]"
"Middle Africa"," 2014","49.3 [45.3-52.5]","1956 [1796-2082]"
"Middle Africa"," 2013","49.9 [46.0-53.0]","1941 [1789-2060]"
"Middle Africa"," 2012","50.5 [46.7-53.5]","1924 [1781-2038]"
"Middle Africa"," 2011","51.0 [47.5-53.9]","1903 [1771-2011]"
"Middle Africa"," 2010","51.5 [48.1-54.3]","1880 [1754-1984]"
"Middle Africa"," 2009","52.0 [48.6-54.8]","1854 [1733-1954]"
"Middle Africa"," 2008","52.5 [49.1-55.2]","1825 [1708-1919]"
"Middle Africa"," 2007","52.9 [49.6-55.6]","1793 [1679-1885]"
"Middle Africa"," 2006","53.2 [49.8-56.0]","1756 [1642-1846]"
"Middle Africa"," 2005","53.5 [50.0-56.3]","1717 [1604-1808]"
